Customer,Address,Phone,Personnummer,BankAccount
Sofie Ibrahim,"Ängsvägen 03, 14010 Gävle",061-608 60 88,400118-5901,SE8902EPWK73250364544965
Sofie Ibrahim,"Ängsvägen 03, 14010 Gävle",061-608 60 88,400118-5901,SE8902IDSK51225196610969
Mona Lundgren,"Kyrkvägen 084, 49722 Göteborg",+46 (0)396 101 64,391117-9285,SE8902OGIV86383792142837
Mona Lundgren,"Kyrkvägen 084, 49722 Göteborg",+46 (0)396 101 64,391117-9285,SE8902QZEZ52320024971424
Tuulikki Blomqvist,"Kvarnvägen 654, 94181 Borås",+46 (0)918 939 10,981215-7254,SE8902DWZI85436013187521
Tuulikki Blomqvist,"Kvarnvägen 654, 94181 Borås",+46 (0)918 939 10,981215-7254,SE8902UJGR36411837401781
Tuulikki Blomqvist,"Kvarnvägen 654, 94181 Borås",+46 (0)918 939 10,981215-7254,SE8902VAPD72818464374400
Tuulikki Blomqvist,"Kvarnvägen 654, 94181 Borås",+46 (0)918 939 10,981215-7254,SE8902VEIB72029945509184
Tuulikki Blomqvist,"Kvarnvägen 654, 94181 Borås",+46 (0)918 939 10,981215-7254,SE8902CHSI75448480838708
Maria Lund,"Idrottsgatan 29, 95515 Eskilstuna",011-396 09 07,960709-2138,SE8902XPHQ15953762308017
Maria Lund,"Idrottsgatan 29, 95515 Eskilstuna",011-396 09 07,960709-2138,SE8902VBHN50052224387585
Isabelle Hjelm-Larsson,"Åkervägen 971, 90160 Sundsvall",+46 (0)20 79 17 12,480306-8115,SE8902URSS59260219235990
Camilla Johansson,"Åkertorget 069, 39757 Motala",0861-196 16,940125-0585,SE8902IQRO13056391101908
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902GXLB05514229654020
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902KWAF90270853352878
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902MLNA56994057710583
Hanna Hassan,"Villavägen 3, 86247 Kristianstad",037-883 90 90,410710-9094,SE8902JIJC96071565969922
Lova Sundberg-Olsson,"Storstigen 811, 77717 Kristianstad",096-473 28 15,970509-1354,SE8902BWXT39949824641151
Lova Sundberg-Olsson,"Storstigen 811, 77717 Kristianstad",096-473 28 15,970509-1354,SE8902TKNC87869236455689
Lova Sundberg-Olsson,"Storstigen 811, 77717 Kristianstad",096-473 28 15,970509-1354,SE8902PSRJ65756431691707
Anna Rosenberg,"Ekgatan 995, 22276 Östersund",024-65 61 12,460430-5393,SE8902SILE68578227700598
Anna Rosenberg,"Ekgatan 995, 22276 Östersund",024-65 61 12,460430-5393,SE8902UTKP18439002370878
Anna Rosenberg,"Ekgatan 995, 22276 Östersund",024-65 61 12,460430-5393,SE8902HQID54921038055598
Ida Haraldsson,"Nygränd 66, 29051 Östersund",+46 (0)507 376 03,050129-1702,SE8902CMWE25531271390672
Mary Persson,"Järnvägsstigen 4, 45736 Östersund",08-921 70 79,650907-0865,SE8902ZWKL91581622045409
Mary Persson,"Järnvägsstigen 4, 45736 Östersund",08-921 70 79,650907-0865,SE8902NHEC01255630352421
Stina Jansson,"Björkgatan 6, 17233 Mölndal",0829-327 34,970320-1955,SE8902HRZI51889347255465
Stina Jansson,"Björkgatan 6, 17233 Mölndal",0829-327 34,970320-1955,SE8902AVQC54172602808950
Mari Granath Åkesson,"Ringvägen 046, 63456 Karlstad",08-764 060 43,390120-3251,SE8902YHDH55973704252760
Mari Granath Åkesson,"Ringvägen 046, 63456 Karlstad",08-764 060 43,390120-3251,SE8902BABM26306156053804
Mari Granath Åkesson,"Ringvägen 046, 63456 Karlstad",08-764 060 43,390120-3251,SE8902UNAU13611272599268
Karin Nilsson,"Stationsstigen 7, 38873 Östersund",+46 (0)975 970 92,870510-7632,SE8902ZJVA11817265425330
Kerstin Andersson,"Kyrkgatan 214, 41710 Landskrona",018-68 77 32,890713-4053,SE8902JFQL02168511886094
Kerstin Andersson,"Kyrkgatan 214, 41710 Landskrona",018-68 77 32,890713-4053,SE8902COVG23577172278709
Kerstin Andersson,"Kyrkgatan 214, 41710 Landskrona",018-68 77 32,890713-4053,SE8902HWHC81157429988113
Maria Eklund,"Strandgatan 860, 99872 Mölndal",062-56 88 13,410316-8359,SE8902IDYW61560887680926
Amanda Lundgren,"Parktorget 58, 26034 Mölndal",08-115 654 00,540225-7553,SE8902VBXW33852287376238
Maria Berg,"Skolvägen 78, 53191 Landskrona",+46 (0)50 76 54 96,020819-5933,SE8902TTDD62882365317340
Joanna Åkerlund,"Backstigen 81, 88068 Karlskoga",+46 (0)64 52 15 10,000112-4718,SE8902JDLY63782567946635
Joanna Åkerlund,"Backstigen 81, 88068 Karlskoga",+46 (0)64 52 15 10,000112-4718,SE8902PKJC56529381306922
Margareta Eriksson,"Parkgatan 083, 83788 Göteborg",091-978 15 65,860806-5499,SE8902PLTU47854504283727
Anna Andersson,"Ringstigen 91, 55006 Varberg",08-11 67 41,551226-2535,SE8902QBPI92232356394837
Anna Andersson,"Ringstigen 91, 55006 Varberg",08-11 67 41,551226-2535,SE8902NPMZ64718534936104
Laila Fransson Hedlund,"Åkertorget 022, 19742 Lidköping",067-40 00 26,960812-8352,SE8902ERJA13877835143324
Agnes Karlsson,"Stationstorget 867, 86539 Skövde",031-61 94 36,491206-5150,SE8902OKVE09579666832306
Elsa Svensson,"Björkgränd 34, 11776 Umeå",08-80 24 81,920430-0215,SE8902BPMW61406251979814
Elsa Svensson,"Björkgränd 34, 11776 Umeå",08-80 24 81,920430-0215,SE8902YLGE04073464233597
Kristina Åström,"Ängsgränd 76, 38179 Uddevalla",0684-865 67,590612-4861,SE8902TCZL47145018856917
Gunnel Pettersson,"Trädgårdsgatan 84, 30993 Malmö",0400-369 09,680414-8994,SE8902ZNRZ32368916134263
Gunnel Pettersson,"Trädgårdsgatan 84, 30993 Malmö",0400-369 09,680414-8994,SE8902WSHS28438837480311
Agneta Ekman,"Trädgårdsvägen 630, 98581 Karlskrona",+46 (0)8 779 494 77,850328-3593,SE8902NDNE36671961231780
Cecilia Ottosson Lindblom,"Fabrikstorget 009, 16221 Trollhättan",062-619 00 20,680912-5039,SE8902OLFT37200388827050
Cecilia Ottosson Lindblom,"Fabrikstorget 009, 16221 Trollhättan",062-619 00 20,680912-5039,SE8902JQHT00463203687003
Cecilia Ottosson Lindblom,"Fabrikstorget 009, 16221 Trollhättan",062-619 00 20,680912-5039,SE8902IIVG09252145366202
Ester Ekelund,"Åkergatan 231, 83376 Norrköping",08-83 48 04,380518-3252,SE8902EYGF77551822415743
Sabina Johansson-Omar,"Grangatan 745, 55460 Piteå",+46 (0)8 512 551 71,000615-6756,SE8902LVSQ11356198112962
Erika Wiberg Nilsson,"Stortorget 8, 83044 Östersund",019-396 62 36,690811-8372,SE8902YVWX44120455116841
